# Frequency (cm-1)	Intensity (arb. units)
856.59	8.176097e-10
857.93	8.104411e-10
859.26	8.033459e-10
860.60	7.963233e-10
861.93	7.893724e-10
863.26	7.824924e-10
864.60	7.756825e-10
865.93	7.689419e-10
867.27	7.622698e-10
868.60	7.556654e-10
869.94	7.491280e-10
871.27	7.426567e-10
872.60	7.362509e-10
873.94	7.299099e-10
875.27	7.236327e-10
876.61	7.174189e-10
877.94	7.112675e-10
879.27	7.051780e-10
880.61	6.991496e-10
881.94	6.931816e-10
883.28	6.872734e-10
884.61	6.814243e-10
885.95	6.756335e-10
887.28	6.699006e-10
888.61	6.642248e-10
889.95	6.586054e-10
891.28	6.530419e-10
892.62	6.475336e-10
893.95	6.420799e-10
895.29	6.366802e-10
896.62	6.313339e-10
897.95	6.260403e-10
899.29	6.207990e-10
900.62	6.156094e-10
901.96	6.104707e-10
903.29	6.053826e-10
904.63	6.003444e-10
905.96	5.953556e-10
907.29	5.904156e-10
908.63	5.855239e-10
909.96	5.806800e-10
911.30	5.758833e-10
912.63	5.711333e-10
913.97	5.664295e-10
915.30	5.617714e-10
916.63	5.571585e-10
917.97	5.525903e-10
919.30	5.480663e-10
920.64	5.435861e-10
921.97	5.391491e-10
923.31	5.347548e-10
924.64	5.304029e-10
925.97	5.260928e-10
927.31	5.218241e-10
928.64	5.175963e-10
929.98	5.134091e-10
931.31	5.092619e-10
932.65	5.051543e-10
933.98	5.010860e-10
935.31	4.970564e-10
936.65	4.930651e-10
937.98	4.891118e-10
939.32	4.851960e-10
940.65	4.813174e-10
941.99	4.774755e-10
943.32	4.736699e-10
944.65	4.699003e-10
945.99	4.661662e-10
947.32	4.624673e-10
948.66	4.588032e-10
949.99	4.551735e-10
951.32	4.515779e-10
952.66	4.480160e-10
953.99	4.444874e-10
955.33	4.409918e-10
956.66	4.375289e-10
958.00	4.340982e-10
959.33	4.306995e-10
960.66	4.273324e-10
962.00	4.239966e-10
963.33	4.206917e-10
964.67	4.174174e-10
966.00	4.141734e-10
967.34	4.109594e-10
968.67	4.077751e-10
970.00	4.046201e-10
971.34	4.014941e-10
972.67	3.983969e-10
974.01	3.953281e-10
975.34	3.922874e-10
976.68	3.892746e-10
978.01	3.862894e-10
979.34	3.833314e-10
980.68	3.804003e-10
982.01	3.774960e-10
983.35	3.746181e-10
984.68	3.717663e-10
986.02	3.689405e-10
987.35	3.661402e-10
988.68	3.633652e-10
990.02	3.606154e-10
991.35	3.578904e-10
992.69	3.551899e-10
994.02	3.525137e-10
995.36	3.498616e-10
996.69	3.472333e-10
998.02	3.446286e-10
999.36	3.420472e-10
1000.69	3.394889e-10
1002.03	3.369535e-10
1003.36	3.344406e-10
1004.70	3.319502e-10
1006.03	3.294819e-10
1007.36	3.270355e-10
1008.70	3.246109e-10
1010.03	3.222077e-10
1011.37	3.198258e-10
1012.70	3.174650e-10
1014.03	3.151250e-10
1015.37	3.128056e-10
1016.70	3.105067e-10
1018.04	3.082279e-10
1019.37	3.059692e-10
1020.71	3.037303e-10
1022.04	3.015110e-10
1023.37	2.993111e-10
1024.71	2.971304e-10
1026.04	2.949687e-10
1027.38	2.928259e-10
1028.71	2.907017e-10
1030.05	2.885960e-10
1031.38	2.865085e-10
1032.71	2.844392e-10
1034.05	2.823877e-10
1035.38	2.803540e-10
1036.72	2.783378e-10
1038.05	2.763391e-10
1039.39	2.743575e-10
1040.72	2.723929e-10
1042.05	2.704453e-10
1043.39	2.685143e-10
1044.72	2.665999e-10
1046.06	2.647018e-10
1047.39	2.628200e-10
1048.73	2.609542e-10
1050.06	2.591043e-10
1051.39	2.572701e-10
1052.73	2.554516e-10
1054.06	2.536484e-10
1055.40	2.518606e-10
1056.73	2.500878e-10
1058.07	2.483301e-10
