# Digitized MVKO experimental IR spectrum — Chung & Lee 2021
# # Source: Chung, C. A.; Lee, Y. P. Commun Chem 2021, 4(1), 8.  DOI: 10.1038/s42004-021-00444-6
# # Panel (a): anti-cis MVKO, 5-10 µs transient FTIR, "processed"
# # Digitization: pixel-intensity scan; achromatic+blue-marker trace;
# #   gray-box regions (1248-1464 & 1140-1245 cm-1) searched below top border.
# # Zero baseline (dashed line in figure) at panel_row 122.5/136.
# # Y-calibration: 4.21×10⁻⁵ ΔAbs per pixel from y=2×10⁻³ tick at row 75.
# # frequency_cm-1,delta_abs_raw,delta_abs_smoothed
1.256381000000000085e+03,1.894499999999999971e-04,1.894650248279582008e-04
1.255670000000000073e+03,1.894499999999999971e-04,1.896456855456958991e-04
1.254959000000000060e+03,1.052499999999999969e-04,1.910116622274821250e-04
1.254248000000000047e+03,1.052499999999999969e-04,1.977128117080481412e-04
1.253537000000000035e+03,1.052499999999999969e-04,2.192392262319674918e-04
1.252826000000000022e+03,1.894499999999999971e-04,2.652843378832071071e-04
1.252115000000000009e+03,3.578499999999999975e-04,3.353010210629867299e-04
1.251403999999999996e+03,4.420499999999999842e-04,4.288084998901578915e-04
1.250692999999999984e+03,4.420499999999999842e-04,5.754308140706558680e-04
1.249981999999999971e+03,1.620850000000000068e-03,8.149291936870232782e-04
1.249270999999999958e+03,1.620850000000000068e-03,1.116340288910701740e-03
1.248559999999999945e+03,3.578499999999999975e-04,1.372379707848151364e-03
1.247849000000000160e+03,1.620850000000000068e-03,1.509616834878333650e-03
1.247137999999999920e+03,1.368250000000000108e-03,1.548195215232713202e-03
1.246427000000000135e+03,1.620850000000000068e-03,1.546478809718770117e-03
1.245715999999999894e+03,1.536650000000000082e-03,1.540783403518084828e-03
1.245005000000000109e+03,1.536650000000000082e-03,1.541125762527492931e-03
1.244294000000000096e+03,1.536650000000000082e-03,1.549715125435648100e-03
1.243583000000000084e+03,1.536650000000000082e-03,1.567447730977811725e-03
1.242872000000000071e+03,1.620850000000000068e-03,1.588535796738605290e-03
1.242161000000000058e+03,1.620850000000000068e-03,1.596868387461043053e-03
1.241450000000000045e+03,1.620850000000000068e-03,1.560567009492191005e-03
1.240739000000000033e+03,1.620850000000000068e-03,1.425136691924008998e-03
1.240028000000000020e+03,1.620850000000000068e-03,1.154963191946642995e-03
1.239317000000000007e+03,3.578499999999999975e-04,8.130182837846007321e-04
1.238605999999999995e+03,3.578499999999999975e-04,5.304786112251898451e-04
1.237894999999999982e+03,3.157500000000000042e-04,3.722176790792721345e-04
1.237183999999999969e+03,2.736500000000000109e-04,3.065937892838321095e-04
1.236472999999999956e+03,2.736500000000000109e-04,2.834290738920798190e-04
1.235761999999999944e+03,2.736500000000000109e-04,2.760118360944015009e-04
1.235050999999999931e+03,2.736500000000000109e-04,2.740564247843560799e-04
1.234340000000000146e+03,2.736500000000000109e-04,2.736067129240603584e-04
1.233628999999999905e+03,2.736500000000000109e-04,2.729199683761776877e-04
1.232918000000000120e+03,2.736500000000000109e-04,2.698854880613818725e-04
1.232206999999999880e+03,2.736500000000000109e-04,2.606714487162312978e-04
1.231496000000000095e+03,2.736500000000000109e-04,2.426530086606227112e-04
1.230785000000000082e+03,1.894499999999999971e-04,2.196191169427070904e-04
1.230074000000000069e+03,1.894499999999999971e-04,1.986565269311714834e-04
1.229363000000000056e+03,1.052499999999999969e-04,1.802434730688285379e-04
1.228652000000000044e+03,1.052499999999999969e-04,1.592808830572929580e-04
1.227941000000000031e+03,3.578499999999999975e-04,1.362469913393773101e-04
1.227230000000000018e+03,3.578499999999999975e-04,1.182285512837687234e-04
1.226519000000000005e+03,1.052499999999999969e-04,1.090145119386181624e-04
1.225807999999999993e+03,1.052499999999999969e-04,1.059837878308118777e-04
1.225096999999999980e+03,1.052499999999999969e-04,1.053440865658584037e-04
1.224385999999999967e+03,1.052499999999999969e-04,1.052575124139790987e-04
1.223674999999999955e+03,1.894499999999999971e-04,1.052500000000000104e-04
