# Equilibrium harmonic reference (FWHM=10 cm-1)
# # frequency_cm-1,intensity_normalized
4.000000000000000000e+01,1.733725044397858850e-02
4.100000000000000000e+01,1.668347136303622094e-02
4.200000000000000000e+01,1.581371268945167691e-02
4.300000000000000000e+01,1.480514452469642792e-02
4.400000000000000000e+01,1.373047274513923728e-02
4.500000000000000000e+01,1.264915703029197667e-02
4.600000000000000000e+01,1.160422865324526459e-02
4.700000000000000000e+01,1.062315972908667826e-02
4.800000000000000000e+01,9.720787558862502981e-03
4.900000000000000000e+01,8.902754937938637050e-03
5.000000000000000000e+01,8.168604356684755832e-03
5.100000000000000000e+01,7.514197425353858276e-03
5.200000000000000000e+01,6.933439940787775382e-03
5.300000000000000000e+01,6.419427079460144313e-03
5.400000000000000000e+01,5.965155387358156598e-03
5.500000000000000000e+01,5.563933798285102157e-03
5.600000000000000000e+01,5.209596665407702394e-03
5.700000000000000000e+01,4.896592634588544865e-03
5.800000000000000000e+01,4.619999460738721982e-03
5.900000000000000000e+01,4.375497395669479712e-03
6.000000000000000000e+01,4.159321658952196306e-03
6.100000000000000000e+01,3.968206436217271670e-03
6.200000000000000000e+01,3.799327641867477918e-03
6.300000000000000000e+01,3.650248409445415974e-03
6.400000000000000000e+01,3.518869268008790498e-03
6.500000000000000000e+01,3.403383771599779138e-03
6.600000000000000000e+01,3.302239669143736730e-03
6.700000000000000000e+01,3.214105337805718814e-03
6.800000000000000000e+01,3.137841028899608121e-03
6.900000000000000000e+01,3.072474413291690319e-03
7.000000000000000000e+01,3.017179914210732766e-03
7.100000000000000000e+01,2.971261349846650562e-03
7.200000000000000000e+01,2.934137458438210427e-03
7.300000000000000000e+01,2.905329934515430649e-03
7.400000000000000000e+01,2.884453660957420670e-03
7.500000000000000000e+01,2.871208874717464787e-03
7.600000000000000000e+01,2.865375053282701902e-03
7.700000000000000000e+01,2.866806353975400162e-03
7.800000000000000000e+01,2.875428479418873709e-03
7.900000000000000000e+01,2.891236880538375440e-03
8.000000000000000000e+01,2.914296244160749592e-03
8.100000000000000000e+01,2.944741246512027656e-03
8.200000000000000000e+01,2.982778587627879681e-03
8.300000000000000000e+01,3.028690355851873690e-03
8.400000000000000000e+01,3.082838807184768316e-03
8.500000000000000000e+01,3.145672682264294504e-03
8.600000000000000000e+01,3.217735225203240384e-03
8.700000000000000000e+01,3.299674114372874723e-03
8.800000000000000000e+01,3.392253566379016191e-03
8.900000000000000000e+01,3.496368931621102877e-03
9.000000000000000000e+01,3.613064163208426407e-03
9.100000000000000000e+01,3.743552610101245817e-03
9.200000000000000000e+01,3.889241658215240871e-03
9.300000000000000000e+01,4.051761815540799033e-03
9.400000000000000000e+01,4.233000900724576306e-03
9.500000000000000000e+01,4.435144034058754320e-03
9.600000000000000000e+01,4.660720119691775729e-03
9.700000000000000000e+01,4.912655405131422480e-03
9.800000000000000000e+01,5.194334438386467856e-03
9.900000000000000000e+01,5.509668201021455242e-03
1.000000000000000000e+02,5.863168197002835251e-03
1.010000000000000000e+02,6.260023541072070805e-03
1.020000000000000000e+02,6.706175184236281596e-03
1.030000000000000000e+02,7.208376689197821055e-03
1.040000000000000000e+02,7.774223483649929378e-03
1.050000000000000000e+02,8.412120976030817293e-03
1.060000000000000000e+02,9.131144676854304268e-03
1.070000000000000000e+02,9.940720800962331294e-03
1.080000000000000000e+02,1.085002273723731890e-02
1.090000000000000000e+02,1.186693900660808730e-02
1.100000000000000000e+02,1.299643051458731352e-02
1.110000000000000000e+02,1.423808184963188880e-02
1.120000000000000000e+02,1.558271021323429789e-02
1.130000000000000000e+02,1.700810531547309809e-02
1.140000000000000000e+02,1.847443267283068943e-02
1.150000000000000000e+02,1.992059173164728234e-02
1.160000000000000000e+02,2.126372498306419723e-02
1.170000000000000000e+02,2.240456434797375926e-02
1.180000000000000000e+02,2.324041783301191572e-02
1.190000000000000000e+02,2.368462774969229065e-02
1.200000000000000000e+02,2.368706301188663876e-02
1.210000000000000000e+02,2.324751090678250573e-02
1.220000000000000000e+02,2.241573421284024162e-02
1.230000000000000000e+02,2.127816574583974926e-02
1.240000000000000000e+02,1.993743898896007186e-02
1.250000000000000000e+02,1.849289499567823708e-02
1.260000000000000000e+02,1.702753507723346951e-02
1.270000000000000000e+02,1.560261893490205894e-02
1.280000000000000000e+02,1.425812012243970507e-02
1.290000000000000000e+02,1.301635277166966753e-02
1.300000000000000000e+02,1.188656689855669725e-02
1.310000000000000000e+02,1.086921391216064126e-02
1.320000000000000000e+02,9.959345085442118314e-03
1.330000000000000000e+02,9.149067146462091030e-03
1.340000000000000000e+02,8.429190468451379717e-03
1.350000000000000000e+02,7.790265005965544241e-03
1.360000000000000000e+02,7.223186411062931453e-03
1.370000000000000000e+02,6.719517029437289783e-03
1.380000000000000000e+02,6.271626679366904510e-03
1.390000000000000000e+02,5.872724962499084947e-03
1.400000000000000000e+02,5.516832123352084782e-03
1.410000000000000000e+02,5.198718180838190518e-03
1.420000000000000000e+02,4.913828473422205377e-03
1.430000000000000000e+02,4.658206247873334510e-03
1.440000000000000000e+02,4.428418178704795691e-03
1.450000000000000000e+02,4.221485787215904090e-03
1.460000000000000000e+02,4.034823984924209780e-03
1.470000000000000000e+02,3.866186962404714704e-03
1.480000000000000000e+02,3.713621098725392294e-03
1.490000000000000000e+02,3.575424298137154077e-03
1.500000000000000000e+02,3.450111055627687849e-03
1.510000000000000000e+02,3.336382540707751726e-03
1.520000000000000000e+02,3.233101026170554382e-03
1.530000000000000000e+02,3.139268049660054027e-03
1.540000000000000000e+02,3.054005765593187632e-03
1.550000000000000000e+02,2.976541014829572982e-03
1.560000000000000000e+02,2.906191705021073449e-03
1.570000000000000000e+02,2.842355153748350825e-03
1.580000000000000000e+02,2.784498098692822412e-03
1.590000000000000000e+02,2.732148124299592102e-03
1.600000000000000000e+02,2.684886293153397867e-03
1.610000000000000000e+02,2.642340803283842621e-03
1.620000000000000000e+02,2.604181520554869293e-03
1.630000000000000000e+02,2.570115258871627246e-03
1.640000000000000000e+02,2.539881700795600279e-03
1.650000000000000000e+02,2.513249867865110891e-03
1.660000000000000000e+02,2.490015063969660668e-03
1.670000000000000000e+02,2.469996226948720144e-03
1.680000000000000000e+02,2.453033633541418842e-03
1.690000000000000000e+02,2.438986911208862463e-03
1.700000000000000000e+02,2.427733317443234087e-03
1.710000000000000000e+02,2.419166253182870440e-03
