# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_syn_trans_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_syn_trans_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
3.930000000000000000e+02,8.362887713212892316e-02
3.940000000000000000e+02,8.555773695410527624e-02
3.950000000000000000e+02,8.700029402475586982e-02
3.960000000000000000e+02,8.787706664857186656e-02
3.970000000000000000e+02,8.812601717022884584e-02
3.980000000000000000e+02,8.778540237133003465e-02
3.990000000000000000e+02,8.704101439724562517e-02
4.000000000000000000e+02,8.620035961972900840e-02
4.010000000000000000e+02,8.560213334402996810e-02
4.020000000000000000e+02,8.550512751577567239e-02
4.030000000000000000e+02,8.599913339091137809e-02
4.040000000000000000e+02,8.695768580846506557e-02
4.050000000000000000e+02,8.804176231945727571e-02
4.060000000000000000e+02,8.877025806499810878e-02
4.070000000000000000e+02,8.866602304609359775e-02
