# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_nm_dipole_anti_cis_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
9.500000000000000000e+01,2.139982447898354165e-03
9.600000000000000000e+01,2.151144531778520323e-03
9.700000000000000000e+01,2.162482957795363279e-03
9.800000000000000000e+01,2.174004156629692069e-03
9.900000000000000000e+01,2.185714943475981428e-03
1.000000000000000000e+02,2.197622549199346360e-03
1.010000000000000000e+02,2.209734654632783402e-03
1.020000000000000000e+02,2.222059428391496075e-03
1.030000000000000000e+02,2.234605568633657707e-03
1.040000000000000000e+02,2.247382349257948976e-03
1.050000000000000000e+02,2.260399671097987253e-03
1.060000000000000000e+02,2.273668118756882323e-03
1.070000000000000000e+02,2.287199023820057214e-03
1.080000000000000000e+02,2.301004535296557237e-03
1.090000000000000000e+02,2.315097698270669919e-03
1.100000000000000000e+02,2.329492541899192033e-03
1.110000000000000000e+02,2.344204178071769475e-03
1.120000000000000000e+02,2.359248912266252111e-03
1.130000000000000000e+02,2.374644368384845172e-03
1.140000000000000000e+02,2.390409629659436160e-03
1.150000000000000000e+02,2.406565398073639856e-03
1.160000000000000000e+02,2.423134175179498043e-03
1.170000000000000000e+02,2.440140467701948281e-03
1.180000000000000000e+02,2.457611021943611595e-03
1.190000000000000000e+02,2.475575091749951211e-03
1.200000000000000000e+02,2.494064745698632880e-03
1.210000000000000000e+02,2.513115220274786919e-03
1.220000000000000000e+02,2.532765327129801302e-03
1.230000000000000000e+02,2.553057924155409820e-03
1.240000000000000000e+02,2.574040462106114754e-03
1.250000000000000000e+02,2.595765620967344263e-03
1.260000000000000000e+02,2.618292053306229585e-03
1.270000000000000000e+02,2.641685255607808744e-03
1.280000000000000000e+02,2.666018593276401998e-03
1.290000000000000000e+02,2.691374510811891333e-03
1.300000000000000000e+02,2.717845965955585901e-03
1.310000000000000000e+02,2.745538135730513259e-03
1.320000000000000000e+02,2.774570453765884317e-03
1.330000000000000000e+02,2.805079052719543827e-03
1.340000000000000000e+02,2.837219703772746009e-03
1.350000000000000000e+02,2.871171368035363956e-03
1.360000000000000000e+02,2.907140503434577777e-03
1.370000000000000000e+02,2.945366306635453183e-03
1.380000000000000000e+02,2.986127114266482439e-03
1.390000000000000000e+02,3.029748242660763521e-03
1.400000000000000000e+02,3.076611611483443670e-03
1.410000000000000000e+02,3.127167573664345768e-03
1.420000000000000000e+02,3.181949458568468676e-03
